/カウンタ,移動パターン,敵の種類,x座標,y座標,スピード,発射時間,待機時間,体力,パワー,アイテム0,1,2,3,4,5,6,弾の種類,弾幕種類
/cnt,mv_ptn,knd,x,y,sp,bltime,wait,hp,power,item_knd0,1,2,3,4,5,6,bul_knd,bul_ptn
650,1,0,-20,60,2.5,30,0,10,10,-1,-1,-1,-1,-1,-1,-1,0,4
650,2,0,660,60,2.5,30,0,10,10,-1,-1,-1,-1,-1,-1,-1,0,4
700,3,0,55,-90,5,10,0,10,10,-1,-1,-1,-1,-1,-1,-1,0,4
700,3,0,30,-65,5,15,0,10,10,-1,-1,-1,-1,-1,-1,-1,0,4
700,3,0,5,-40,5,0,20,10,10,-1,-1,-1,-1,-1,-1,-1,0,4
740,4,0,585,-90,5,10,0,10,10,-1,-1,-1,-1,-1,-1,-1,0,4
740,4,0,560,-65,5,15,0,10,10,-1,-1,-1,-1,-1,-1,-1,0,4
740,4,0,535,-40,5,20,0,10,10,-1,-1,-1,-1,-1,-1,-1,0,4
750,5,0,-20,510,5,0,0,10,10,-1,-1,-1,-1,-1,-1,-1,-1,-1
765,6,0,660,510,5,0,0,10,10,-1,-1,-1,-1,-1,-1,-1,-1,-1
800,7,1,-25,550,5,0,0,10,10,-1,-1,-1,-1,-1,-1,-1,-1,-1
800,7,1,0,520,5,0,0,10,10,-1,-1,-1,-1,-1,-1,-1,-1,-1
800,7,1,25,550,5,0,0,10,10,-1,-1,-1,-1,-1,-1,-1,-1,-1
800,8,1,25,-70,5,10,0,10,10,-1,-1,-1,-1,-1,-1,-1,-1,-1
800,8,1,0,-40,5,0,10,10,10,-1,-1,-1,-1,-1,-1,-1,-1,-1
800,8,1,-25,-70,5,10,0,10,10,-1,-1,-1,-1,-1,-1,-1,-1,-1
800,9,1,730,25,5,0,0,10,10,-1,-1,-1,-1,-1,-1,-1,-1,-1
800,9,1,690,0,5,0,0,10,10,-1,-1,-1,-1,-1,-1,-1,-1,-1
800,9,1,730,-25,5,0,0,10,10,-1,-1,-1,-1,-1,-1,-1,-1,-1
800,10,1,-80,25,5,0,0,10,10,-1,-1,-1,-1,-1,-1,-1,-1,-1
800,10,1,-40,0,5,0,0,10,10,-1,-1,-1,-1,-1,-1,-1,-1,-1
800,10,1,-80,-25,5,0,0,10,10,-1,-1,-1,-1,-1,-1,-1,-1,-1
850,11,2,250,-80,5,0,0,10,10,-1,-1,-1,-1,-1,-1,-1,-1,-1
850,12,2,390,-80,5,0,0,10,10,-1,-1,-1,-1,-1,-1,-1,-1,-1
850,13,2,30,560,5,0,0,10,10,-1,-1,-1,-1,-1,-1,-1,-1,-1
850,14,2,610,560,5,0,0,10,10,-1,-1,-1,-1,-1,-1,-1,-1,-1
1000,15,0,55,570,5,30,0,10,10,-1,-1,-1,-1,-1,-1,-1,0,4
1000,15,0,30,595,5,30,0,10,10,-1,-1,-1,-1,-1,-1,-1,0,4
1000,15,0,5,620,5,30,0,10,10,-1,-1,-1,-1,-1,-1,-1,0,4
1040,16,0,585,570,5,0,0,10,10,-1,-1,-1,-1,-1,-1,-1,-1,-1
1040,16,0,560,595,5,0,0,10,10,-1,-1,-1,-1,-1,-1,-1,-1,-1
1040,16,0,535,620,5,0,0,10,10,-1,-1,-1,-1,-1,-1,-1,-1,-1


