/カウンタ,移動パターン,敵の種類,x座標,y座標,スピード,発射時間,待機時間,体力,パワー,アイテム0,1,2,3,4,5,6,弾の種類,弾幕種類
/cnt,mv_ptn,knd,x,y,sp,bltime,wait,hp,power,item_knd0,1,2,3,4,5,6,bul_knd,bul_ptn
500,35,1,640,40,2.5,35,0,10,10,-1,-1,-1,-1,-1,-1,-1,0,8
500,39,1,-40,440,2.5,35,0,10,10,-1,-1,-1,-1,-1,-1,-1,0,8
850,40,1,600,520,2.5,35,0,10,10,-1,-1,-1,-1,-1,-1,-1,0,8
850,36,1,40,-40,2.5,35,0,10,10,-1,-1,-1,-1,-1,-1,-1,0,8
1300,9,1,730,25,5,15,0,10,10,-1,-1,-1,-1,-1,-1,-1,0,2
1300,9,1,690,0,5,15,0,10,10,-1,-1,-1,-1,-1,-1,-1,0,2
1300,9,1,730,-25,5,15,0,10,10,-1,-1,-1,-1,-1,-1,-1,0,2
1340,8,1,25,-70,5,15,0,10,10,-1,-1,-1,-1,-1,-1,-1,0,0
1340,8,1,0,-40,5,15,0,10,10,-1,-1,-1,-1,-1,-1,-1,0,0
1340,8,1,-25,-70,5,15,0,10,10,-1,-1,-1,-1,-1,-1,-1,0,0
1400,46,0,670,240,3,20,0,10,10,-1,-1,-1,-1,-1,-1,-1,0,4
1400,48,0,-30,240,3,20,0,10,10,-1,-1,-1,-1,-1,-1,-1,0,4
1480,62,0,670,440,4,30,0,10,10,-1,-1,-1,-1,-1,-1,-1,0,4
1520,64,0,-30,440,4,30,0,10,10,-1,-1,-1,-1,-1,-1,-1,0,4
1560,58,0,670,40,4,30,0,10,10,-1,-1,-1,-1,-1,-1,-1,0,4
1600,60,0,-30,40,4,30,0,10,10,-1,-1,-1,-1,-1,-1,-1,0,4
1660,47,0,670,240,4,30,0,10,10,-1,-1,-1,-1,-1,-1,-1,0,4
1700,49,0,-30,240,4,30,0,10,10,-1,-1,-1,-1,-1,-1,-1,0,4
1740,44,0,350,510,4,30,0,10,10,-1,-1,-1,-1,-1,-1,-1,0,4
1780,45,0,290,510,4,30,0,10,10,-1,-1,-1,-1,-1,-1,-1,0,4
1820,42,0,350,-30,4,30,0,10,10,-1,-1,-1,-1,-1,-1,-1,0,4
1860,43,0,290,-30,4,30,0,10,10,-1,-1,-1,-1,-1,-1,-1,0,4
1900,59,0,670,40,4,30,0,10,10,-1,-1,-1,-1,-1,-1,-1,0,4
1940,61,0,-30,40,4,30,0,10,10,-1,-1,-1,-1,-1,-1,-1,0,4
1980,65,0,-30,440,4,30,0,10,10,-1,-1,-1,-1,-1,-1,-1,0,4
2020,63,0,670,440,4,30,0,10,10,-1,-1,-1,-1,-1,-1,-1,0,4
2060,50,0,320,-30,4,30,0,10,10,-1,-1,-1,-1,-1,-1,-1,0,4
2100,55,0,670,240,4,30,0,10,10,-1,-1,-1,-1,-1,-1,-1,0,4
2140,53,0,320,510,4,30,0,10,10,-1,-1,-1,-1,-1,-1,-1,0,4
2180,56,0,-30,240,4,30,0,10,10,-1,-1,-1,-1,-1,-1,-1,0,4
2220,52,0,320,510,4,30,0,10,10,-1,-1,-1,-1,-1,-1,-1,0,4
2260,54,0,670,240,4,30,0,10,10,-1,-1,-1,-1,-1,-1,-1,0,4
2300,51,0,320,-30,4,30,0,10,10,-1,-1,-1,-1,-1,-1,-1,0,4
2340,57,0,-30,240,4,30,0,10,10,-1,-1,-1,-1,-1,-1,-1,0,4
2380,71,0,670,200,4,30,0,10,10,-1,-1,-1,-1,-1,-1,-1,0,4
2420,73,0,-30,200,4,30,0,10,10,-1,-1,-1,-1,-1,-1,-1,0,4
2650,11,2,290,-40,4,30,0,10,10,-1,-1,-1,-1,-1,-1,-1,0,4
2650,12,2,350,-40,4,30,0,10,10,-1,-1,-1,-1,-1,-1,-1,0,4
2660,11,2,260,-40,4,30,0,10,10,-1,-1,-1,-1,-1,-1,-1,0,4
2660,12,2,380,-40,4,30,0,10,10,-1,-1,-1,-1,-1,-1,-1,0,4
2670,11,2,290,-40,4,30,0,10,10,-1,-1,-1,-1,-1,-1,-1,0,4
2670,12,2,350,-40,4,30,0,10,10,-1,-1,-1,-1,-1,-1,-1,0,4
2680,11,2,260,-40,4,30,0,10,10,-1,-1,-1,-1,-1,-1,-1,0,4
2680,12,2,380,-40,4,30,0,10,10,-1,-1,-1,-1,-1,-1,-1,0,4
2690,11,2,290,-40,4,30,0,10,10,-1,-1,-1,-1,-1,-1,-1,0,4
2690,12,2,350,-40,4,30,0,10,10,-1,-1,-1,-1,-1,-1,-1,0,4
2700,11,2,260,-40,4,30,0,10,10,-1,-1,-1,-1,-1,-1,-1,0,4
2700,12,2,380,-40,4,30,0,10,10,-1,-1,-1,-1,-1,-1,-1,0,4
2710,11,2,290,-40,4,30,0,10,10,-1,-1,-1,-1,-1,-1,-1,0,4
2710,12,2,350,-40,4,30,0,10,10,-1,-1,-1,-1,-1,-1,-1,0,4
2720,11,2,260,-40,4,30,0,10,10,-1,-1,-1,-1,-1,-1,-1,0,4
2720,12,2,380,-40,4,30,0,10,10,-1,-1,-1,-1,-1,-1,-1,0,4
2730,11,2,290,-40,4,30,0,10,10,-1,-1,-1,-1,-1,-1,-1,0,4
2730,12,2,350,-40,4,30,0,10,10,-1,-1,-1,-1,-1,-1,-1,0,4
2740,11,2,260,-40,4,30,0,10,10,-1,-1,-1,-1,-1,-1,-1,0,4
2740,12,2,380,-40,4,30,0,10,10,-1,-1,-1,-1,-1,-1,-1,0,4
2750,11,2,290,-40,4,30,0,10,10,-1,-1,-1,-1,-1,-1,-1,0,4
2750,12,2,350,-40,4,30,0,10,10,-1,-1,-1,-1,-1,-1,-1,0,4
2760,11,2,260,-40,4,30,0,10,10,-1,-1,-1,-1,-1,-1,-1,0,4
2760,12,2,380,-40,4,30,0,10,10,-1,-1,-1,-1,-1,-1,-1,0,4
2770,11,2,290,-40,4,30,0,10,10,-1,-1,-1,-1,-1,-1,-1,0,4
2770,12,2,350,-40,4,30,0,10,10,-1,-1,-1,-1,-1,-1,-1,0,4
2780,11,2,260,-40,4,30,0,10,10,-1,-1,-1,-1,-1,-1,-1,0,4
2780,12,2,380,-40,4,30,0,10,10,-1,-1,-1,-1,-1,-1,-1,0,4
2790,11,2,290,-40,4,30,0,10,10,-1,-1,-1,-1,-1,-1,-1,0,4
2790,12,2,350,-40,4,30,0,10,10,-1,-1,-1,-1,-1,-1,-1,0,4
2800,11,2,260,-40,4,30,0,10,10,-1,-1,-1,-1,-1,-1,-1,0,4
2800,12,2,380,-40,4,30,0,10,10,-1,-1,-1,-1,-1,-1,-1,0,4
2810,11,2,290,-40,4,30,0,10,10,-1,-1,-1,-1,-1,-1,-1,0,4
2810,12,2,350,-40,4,30,0,10,10,-1,-1,-1,-1,-1,-1,-1,0,4
2820,11,2,260,-40,4,30,0,10,10,-1,-1,-1,-1,-1,-1,-1,0,4
2820,12,2,380,-40,4,30,0,10,10,-1,-1,-1,-1,-1,-1,-1,0,4
2830,11,2,290,-40,4,30,0,10,10,-1,-1,-1,-1,-1,-1,-1,0,4
2830,12,2,350,-40,4,30,0,10,10,-1,-1,-1,-1,-1,-1,-1,0,4
2840,11,2,260,-40,4,30,0,10,10,-1,-1,-1,-1,-1,-1,-1,0,4
2840,12,2,380,-40,4,30,0,10,10,-1,-1,-1,-1,-1,-1,-1,0,4
3100,84,2,320,-40,2.5,30,120,30,5,-1,-1,-1,-1,-1,-1,-1,0,11
3260,85,2,320,-40,2.5,30,120,30,5,-1,-1,-1,-1,-1,-1,-1,0,11
3420,86,2,320,520,2.5,30,120,30,5,-1,-1,-1,-1,-1,-1,-1,0,11
3580,87,2,320,520,2.5,30,120,30,5,-1,-1,-1,-1,-1,-1,-1,0,11
3740,78,1,670,48,2.5,30,120,30,5,-1,-1,-1,-1,-1,-1,-1,0,13
3740,78,1,670,240,2.5,30,120,30,5,-1,-1,-1,-1,-1,-1,-1,0,13
3740,78,1,670,432,2.5,30,120,30,5,-1,-1,-1,-1,-1,-1,-1,0,13
3740,79,1,-30,144,2.5,30,120,30,5,-1,-1,-1,-1,-1,-1,-1,0,14
3740,79,1,-30,336,2.5,30,120,30,5,-1,-1,-1,-1,-1,-1,-1,0,14
3900,25,1,40,-40,2.5,30,120,30,5,-1,-1,-1,-1,-1,-1,-1,0,11
3900,25,1,200,-40,2.5,30,120,30,5,-1,-1,-1,-1,-1,-1,-1,0,8
3900,25,1,360,-40,2.5,30,120,30,5,-1,-1,-1,-1,-1,-1,-1,0,8
3900,25,1,520,-40,2.5,30,120,30,5,-1,-1,-1,-1,-1,-1,-1,0,8
3900,26,1,120,520,2.5,30,120,30,5,-1,-1,-1,-1,-1,-1,-1,0,8
3900,26,1,280,520,2.5,30,120,30,5,-1,-1,-1,-1,-1,-1,-1,0,8
3900,26,1,440,520,2.5,30,120,30,5,-1,-1,-1,-1,-1,-1,-1,0,8
3900,26,1,600,520,2.5,30,120,30,5,-1,-1,-1,-1,-1,-1,-1,0,8
4060,37,1,-40,35,4,30,120,30,5,-1,-1,-1,-1,-1,-1,-1,0,8
4060,34,1,605,-40,4,30,120,30,5,-1,-1,-1,-1,-1,-1,-1,0,8
4060,41,1,680,445,4,30,120,30,5,-1,-1,-1,-1,-1,-1,-1,0,8
4060,37,1,35,52,4,30,120,30,5,-1,-1,-1,-1,-1,-1,-1,0,8
4250,79,1,-40,200,3,30,120,30,5,-1,-1,-1,-1,-1,-1,-1,0,9
4370,89,1,-40,-40,3,30,120,30,5,-1,-1,-1,-1,-1,-1,-1,0,9
4490,25,1,320,-40,3,30,120,30,5,-1,-1,-1,-1,-1,-1,-1,0,9
4610,88,1,680,-40,3,30,120,30,5,-1,-1,-1,-1,-1,-1,-1,0,9
4730,78,1,680,280,3,30,120,30,5,-1,-1,-1,-1,-1,-1,-1,0,9
4850,90,1,680,520,3,30,120,30,5,-1,-1,-1,-1,-1,-1,-1,0,9
4970,26,1,360,520,3,30,120,30,5,-1,-1,-1,-1,-1,-1,-1,0,9
5090,91,1,-40,520,3,30,120,30,5,-1,-1,-1,-1,-1,-1,-1,0,9
5200,92,1,360,-40,3,30,120,30,5,-1,-1,-1,-1,-1,-1,-1,0,11
5200,93,1,280,-40,3,30,120,30,5,-1,-1,-1,-1,-1,-1,-1,0,11
5400,94,1,360,520,3,30,120,30,5,-1,-1,-1,-1,-1,-1,-1,0,11
5400,95,1,280,520,3,30,120,30,5,-1,-1,-1,-1,-1,-1,-1,0,11
